id,image_id,image_name,sharpness_score,exposure_score,overall_score,is_best_in_group,scored_at
199,199,Artefacts_A_Var_Copyrright_L_Ling/A1b36&37.jpg,0.1101,0.7728,0.4414,False,2026-08-11 18:55:19
200,200,Artefacts_A_Var_Copyrright_L_Ling/A1c134c.jpg,0.0508,0.9137,0.4822,False,2026-08-11 18:55:19
201,201,Artefacts_A_Var_Copyrright_L_Ling/A1c252_7.jpg,0.2477,0.9293,0.5885,False,2026-08-11 18:55:19
202,202,Artefacts_A_Var_Copyrright_L_Ling/A1c66x.jpg,0.3249,0.7517,0.5383,False,2026-08-11 18:55:19
203,203,Artefacts_A_Var_Copyrright_L_Ling/A1e9 (2).jpg,0.06,0.8271,0.4436,False,2026-08-11 18:55:19
204,204,Artefacts_A_Var_Copyrright_L_Ling/A1c7&143.jpg,0.0346,0.9637,0.4992,False,2026-08-11 18:55:19
205,205,Artefacts_A_Var_Copyrright_L_Ling/A1c250_5.jpg,0.213,0.9718,0.5924,False,2026-08-11 18:55:19
206,206,Artefacts_A_Var_Copyrright_L_Ling/A1c66y.jpg,0.3,0.9774,0.6387,False,2026-08-11 18:55:19
207,207,Artefacts_A_Var_Copyrright_L_Ling/A1c134b.jpg,0.0234,0.9355,0.4794,False,2026-08-11 18:55:19
208,208,Artefacts_A_Var_Copyrright_L_Ling/A1c251_11.jpg,0.2724,0.9191,0.5958,False,2026-08-11 18:55:19
209,209,Artefacts_A_Var_Copyrright_L_Ling/A1c28a.jpg,0.0203,0.6266,0.3234,False,2026-08-11 18:55:19
210,210,Artefacts_A_Var_Copyrright_L_Ling/A1b9b.jpg,0.4571,0.954,0.7056,False,2026-08-11 18:55:19
211,211,Artefacts_A_Var_Copyrright_L_Ling/A1b43.jpg,0.6315,0.9457,0.7886,False,2026-08-11 18:55:19
212,212,Artefacts_A_Var_Copyrright_L_Ling/A1c5.jpg,0.1002,0.9815,0.5409,False,2026-08-11 18:55:19
213,213,Artefacts_A_Var_Copyrright_L_Ling/A1b31a.jpg,0.0839,0.8715,0.4777,False,2026-08-11 18:55:19
214,214,Artefacts_A_Var_Copyrright_L_Ling/A1c113_1b.jpg,0.0739,0.8823,0.4781,False,2026-08-11 18:55:19
215,215,Artefacts_A_Var_Copyrright_L_Ling/A1c251_3.jpg,0.524,0.9157,0.7198,False,2026-08-11 18:55:19
216,216,Artefacts_A_Var_Copyrright_L_Ling/A1c78b.jpg,0.4421,0.9019,0.672,False,2026-08-11 18:55:19
217,217,Artefacts_A_Var_Copyrright_L_Ling/A1e42.jpg,0.4472,0.9094,0.6783,False,2026-08-11 18:55:19
218,218,Artefacts_A_Var_Copyrright_L_Ling/A1b70a.jpg,0.1229,0.9782,0.5506,False,2026-08-11 18:55:19
219,219,Artefacts_A_Var_Copyrright_L_Ling/A1b71e.jpg,0.0411,0.7485,0.3948,False,2026-08-11 18:55:19
220,220,Artefacts_A_Var_Copyrright_L_Ling/A1c78.jpg,0.0274,0.8758,0.4516,False,2026-08-11 18:55:19
221,221,Artefacts_A_Var_Copyrright_L_Ling/A1c4b.jpg,0.1989,0.974,0.5864,False,2026-08-11 18:55:19
222,222,Artefacts_A_Var_Copyrright_L_Ling/A1b71r.jpg,1,0.9215,0.9608,False,2026-08-11 18:55:19
